plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-1147,Ipomoea cairica (L.) Sweet,Neeli Bel,CONVOLVULACEAE,Neeli Bel,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009801&column=szBarcode,BSI,SOURCE_ONLY,False,950,
PLANT-1148,Ipomoea coptica (L.) Roth,Ipomoea coptica (Tam.),CONVOLVULACEAE,Ipomoea coptica (Tam.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009799&column=szBarcode,BSI,SOURCE_ONLY,False,951,
PLANT-1149,Ipomoea dasysperma Jacq.,Dipdavel (Guj),CONVOLVULACEAE,Dipdavel (Guj),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009797&column=szBarcode,BSI,SOURCE_ONLY,False,952,
PLANT-1150,Ipomoea eriocarpa R.Br.,Nakhari,CONVOLVULACEAE,Nakhari,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009794&column=szBarcode,BSI,SOURCE_ONLY,False,953,
PLANT-1151,Ipomoea hederifolia L.,Lal pungli (Mar.),CONVOLVULACEAE,Lal pungli (Mar.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009789&column=szBarcode,BSI,SOURCE_ONLY,False,954,
PLANT-1152,Ipomoea mauritiana Jacq.; [ = I. digitata L.],Palmudhukkan; kizhangu,CONVOLVULACEAE,Palmudhukkan; kizhangu; Kshiravidari,Ayurveda,,,"Stem, Root; (Tuber),",Climber,AF,Kshiravidari,,NMPB,SOURCE_ONLY,False,,507
PLANT-1153,Ipomoea muricata (L.) Jacq.,Michai,CONVOLVULACEAE,Michai,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009788&column=szBarcode,BSI,SOURCE_ONLY,False,955,
PLANT-1154,Ipomoea nil (L.) Roth.,"Kaladana, Mirchai",CONVOLVULACEAE,"Kaladana, Mirchai; Kaladana",Ayurveda,,,Fruit (Seed),Climber,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009791&column=szBarcode,BSI+NMPB,HIGH,False,956,508
PLANT-1155,Ipomoea obscura(L.) Ker-Gawl.,Vachagandha,CONVOLVULACEAE,Vachagandha; Laksmana,Ayurveda,,,Whole Plant,Climber,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009786&column=szBarcode,BSI+NMPB,HIGH,False,957,509
PLANT-1156,Ipomoea paniculata R.Br.,Bilaikand,CONVOLVULACEAE,Bilaikand,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009795&column=szBarcode,BSI,SOURCE_ONLY,False,958,
PLANT-1157,Ipomoea pes-caprae (L.) Roth,Dopatilata,CONVOLVULACEAE,Dopatilata,Ayurveda,,,"Root,; Whole Plant",Climber,AFS,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009805&column=szBarcode,BSI+NMPB,HIGH,False,959,510
PLANT-1158,Ipomoea petaloidea Choisy,Vrddhadaru,CONVOLVULACEAE,Vrddhadaru,,,,Root,Herb,F,,,NMPB,SOURCE_ONLY,False,,512
PLANT-1159,Ipomoea purga Hayne,Jalap,CONVOLVULACEAE,Jalap,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009784&column=szBarcode,BSI,SOURCE_ONLY,False,961,
PLANT-1160,Ipomoea purpurea (L.) Roth.,Morning Glory (Eng.),CONVOLVULACEAE,Morning Glory (Eng.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009783&column=szBarcode,BSI,SOURCE_ONLY,False,962,
PLANT-1161,Ipomoea quamoclit L.,Kamalata,CONVOLVULACEAE,Kamalata,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009780&column=szBarcode,BSI,SOURCE_ONLY,False,963,
PLANT-1162,Ipomoea reptans Poir.,Kalashaka,CONVOLVULACEAE,Kalashaka,Ayurveda,,,Leaf,Herb,A,,,NMPB,SOURCE_ONLY,False,,513
